index,value
0,374.311882
1,317.132196
2,289.8431
3,306.798691
4,393.063206
5,654.81641
6,1023.237806
7,1178.66996
8,976.621862
9,787.72764
10,630.707054
11,511.117605
12,421.503109
13,358.887191
14,324.630255
15,333.606925
16,417.312983
17,629.429497
18,938.269208
19,1089.532487
20,984.56011
21,805.5953
22,651.834311
23,532.973826
24,443.121272
25,379.157247
26,342.669786
27,347.3392
28,417.465021
29,594.968504
30,876.576338
31,1046.466614
32,981.40716
33,816.716418
34,667.430816
35,549.535596
36,458.667145
37,393.287183
38,354.804761
39,354.984452
40,414.985275
41,572.795741
42,832.734469
43,1013.314174
44,976.252393
45,824.442959
46,678.704879
47,561.520885
48,470.185754
49,403.635562
50,363.508722
51,360.077055
52,412.561062
53,557.694335
54,801.475498
55,987.845888
56,970.619924
57,829.495385
58,686.831431
59,570.271568
60,478.806074
61,411.406586
62,370.034093
63,363.740801
64,410.762509
65,546.437783
66,777.53858
67,966.287961
68,964.871854
69,833.350325
70,693.312205
71,577.444812
72,485.927836
73,417.806269
74,375.461144
75,366.620985
76,409.367765
77,537.022
78,757.642582
79,948.14898
80,958.97951
81,836.72167
82,699.232656
83,583.680105
84,492.086147
85,423.352435
86,380.170962
87,369.216473
88,408.401083
89,529.299568
90,740.749254
91,932.385137
92,953.538008
93,839.247316
94,704.185349
95,589.1632
96,497.441515
97,428.17944
98,384.359048
99,371.575746
100,407.894027
101,523.174408
102,727.327797
103,919.044941
104,948.76393
105,841.028472
106,708.157476
107,593.70381
108,501.885508
109,432.199735
110,387.870756
111,373.59326
112,407.715583
113,518.402653
114,716.675994
115,907.958389
116,944.570914
117,842.344846
118,711.39962
119,597.420257
120,505.571751
121,435.532999
122,390.791315
123,375.341974
124,407.727285
125,514.30634
126,707.777241
127,898.625454
128,940.885182
129,843.343544
130,714.176528
131,600.67022
132,508.753516
133,438.400546
134,393.276784
135,376.841693
136,407.719125
137,510.866202
138,700.212541
139,890.596085
140,937.47995
141,844.058908
142,716.560167
143,603.470135
144,511.540425
145,440.909674
146,395.454694
147,378.1813
148,407.80404
149,508.03801
150,693.593727
151,883.468628
152,934.18726
153,844.439823
154,718.520844
155,605.861084
156,513.949706
157,443.11314
158,397.387916
159,379.424403
160,407.991013
161,505.718291
162,687.928674
163,877.156041
164,931.06797
165,844.587497
166,720.118286
167,607.888571
